	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
107			(same as 36060 In4matx 101, Lec A)	(same as 36060 In4matx 101, Lec A)	(same as 36060 In4matx 101, Lec A)	(same as 36060 In4matx 101, Lec A)	(same as 36060 In4matx 101, Lec A)	(same as 36060 In4matx 101, Lec A)	(same as 36060 In4matx 101, Lec A)	(same as 36060 In4matx 101, Lec A)	(same as 36060 In4matx 101, Lec A)	(same as 36060 In4matx 101, Lec A)	(same as 36060 In4matx 101, Lec A)	(same as 36060 In4matx 101, Lec A)	(same as 36060 In4matx 101, Lec A)		
108	(same as 36060 In4matx 101, Lec A)																
109	34162	Lab	A1	0	STAFFKLEFSTAD, R.	M 2:00- 2:50p	ICS 192		38	26 / 33	0	32	5	A	Bookstore		NewOnly
110			(same as 36062 In4matx 101, Lab A1)	(same as 36062 In4matx 101, Lab A1)	(same as 36062 In4matx 101, Lab A1)	(same as 36062 In4matx 101, Lab A1)	(same as 36062 In4matx 101, Lab A1)	(same as 36062 In4matx 101, Lab A1)	(same as 36062 In4matx 101, Lab A1)	(same as 36062 In4matx 101, Lab A1)	(same as 36062 In4matx 101, Lab A1)	(same as 36062 In4matx 101, Lab A1)	(same as 36062 In4matx 101, Lab A1)	(same as 36062 In4matx 101, Lab A1)	(same as 36062 In4matx 101, Lab A1)		
111	(same as 36062 In4matx 101, Lab A1)																
112	34163	Lab	A2	0	STAFFKLEFSTAD, R.	M 3:00- 3:50p	ICS 192		38	30 / 32	0	36	5	A	Bookstore		OPEN
113			(same as 36063 In4matx 101, Lab A2)	(same as 36063 In4matx 101, Lab A2)	(same as 36063 In4matx 101, Lab A2)	(same as 36063 In4matx 101, Lab A2)	(same as 36063 In4matx 101, Lab A2)	(same as 36063 In4matx 101, Lab A2)	(same as 36063 In4matx 101, Lab A2)	(same as 36063 In4matx 101, Lab A2)	(same as 36063 In4matx 101, Lab A2)	(same as 36063 In4matx 101, Lab A2)	(same as 36063 In4matx 101, Lab A2)	(same as 36063 In4matx 101, Lab A2)	(same as 36063 In4matx 101, Lab A2)		
114	(same as 36063 In4matx 101, Lab A2)																
115	34164	Lab	A3	0	STAFFKLEFSTAD, R.	W 2:00- 2:50p	ICS 192		38	29 / 33	0	30	5	A	Bookstore		NewOnly
116			(same as 36064 In4matx 101, Lab A3)	(same as 36064 In4matx 101, Lab A3)	(same as 36064 In4matx 101, Lab A3)	(same as 36064 In4matx 101, Lab A3)	(same as 36064 In4matx 101, Lab A3)	(same as 36064 In4matx 101, Lab A3)	(same as 36064 In4matx 101, Lab A3)	(same as 36064 In4matx 101, Lab A3)	(same as 36064 In4matx 101, Lab A3)	(same as 36064 In4matx 101, Lab A3)	(same as 36064 In4matx 101, Lab A3)	(same as 36064 In4matx 101, Lab A3)	(same as 36064 In4matx 101, Lab A3)		
117	(same as 36064 In4matx 101, Lab A3)																
118	34165	Lab	A4	0	STAFFKLEFSTAD, R.	W 3:00- 3:50p	ICS 192		38	24 / 24	0	25	5	A	Bookstore		OPEN
119			(same as 36065 In4matx 101, Lab A4)	(same as 36065 In4matx 101, Lab A4)	(same as 36065 In4matx 101, Lab A4)	(same as 36065 In4matx 101, Lab A4)	(same as 36065 In4matx 101, Lab A4)	(same as 36065 In4matx 101, Lab A4)	(same as 36065 In4matx 101, Lab A4)	(same as 36065 In4matx 101, Lab A4)	(same as 36065 In4matx 101, Lab A4)	(same as 36065 In4matx 101, Lab A4)	(same as 36065 In4matx 101, Lab A4)	(same as 36065 In4matx 101, Lab A4)	(same as 36065 In4matx 101, Lab A4)		
120	(same as 36065 In4matx 101, Lab A4)																
121	34166	Lab	A5	0	STAFFKLEFSTAD, R.	F 2:00- 2:50p	ICS 192		38	22 / 24	0	23	5	A	Bookstore		OPEN
122			(same as 36066 In4matx 101, Lab A5)	(same as 36066 In4matx 101, Lab A5)	(same as 36066 In4matx 101, Lab A5)	(same as 36066 In4matx 101, Lab A5)	(same as 36066 In4matx 101, Lab A5)	(same as 36066 In4matx 101, Lab A5)	(same as 36066 In4matx 101, Lab A5)	(same as 36066 In4matx 101, Lab A5)	(same as 36066 In4matx 101, Lab A5)	(same as 36066 In4matx 101, Lab A5)	(same as 36066 In4matx 101, Lab A5)	(same as 36066 In4matx 101, Lab A5)	(same as 36066 In4matx 101, Lab A5)		
123	(same as 36066 In4matx 101, Lab A5)																
124	34167	Lab	A6	0	STAFFKLEFSTAD, R.	F 3:00- 3:50p	ICS 192		38	13 / 16	0	16	5	A	Bookstore		OPEN
125			(same as 36067 In4matx 101, Lab A6)	(same as 36067 In4matx 101, Lab A6)	(same as 36067 In4matx 101, Lab A6)	(same as 36067 In4matx 101, Lab A6)	(same as 36067 In4matx 101, Lab A6)	(same as 36067 In4matx 101, Lab A6)	(same as 36067 In4matx 101, Lab A6)	(same as 36067 In4matx 101, Lab A6)	(same as 36067 In4matx 101, Lab A6)	(same as 36067 In4matx 101, Lab A6)	(same as 36067 In4matx 101, Lab A6)	(same as 36067 In4matx 101, Lab A6)	(same as 36067 In4matx 101, Lab A6)		
126	(same as 36067 In4matx 101, Lab A6)																
127																	
128	CompSci 143A PRNCPLS OPERTNG SYS (Prerequisites)	CompSci 143A PRNCPLS OPERTNG SYS (Prerequisites)	CompSci 143A PRNCPLS OPERTNG SYS (Prerequisites)	CompSci 143A PRNCPLS OPERTNG SYS (Prerequisites)	CompSci 143A PRNCPLS OPERTNG SYS (Prerequisites)	CompSci 143A PRNCPLS OPERTNG SYS (Prerequisites)	CompSci 143A PRNCPLS OPERTNG SYS (Prerequisites)	CompSci 143A PRNCPLS OPERTNG SYS (Prerequisites)	CompSci 143A PRNCPLS OPERTNG SYS (Prerequisites)	CompSci 143A PRNCPLS OPERTNG SYS (Prerequisites)	CompSci 143A PRNCPLS OPERTNG SYS (Prerequisites)	CompSci 143A PRNCPLS OPERTNG SYS (Prerequisites)	CompSci 143A PRNCPLS OPERTNG SYS (Prerequisites)	CompSci 143A PRNCPLS OPERTNG SYS (Prerequisites)	CompSci 143A PRNCPLS OPERTNG SYS (Prerequisites)	CompSci 143A PRNCPLS OPERTNG SYS (Prerequisites)	CompSci 143A PRNCPLS OPERTNG SYS (Prerequisites)
129	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
130	34180	Lec	A	4	BIC, L.	TuTh 6:30- 7:50p	PCB 1100	TBA	246	120	0	154	40	A and N	Bookstore		OPEN
131	34181	Dis	A1	0	STAFFBIC, L.	M 11:00-11:50	SH 174		62	34	0	38	10	A and N	Bookstore		OPEN
132	34182	Dis	A2	0	STAFFBIC, L.	M 12:00-12:50p	TBA		62	42	0	44	10	A and N	Bookstore		OPEN
133	34183	Dis	A3	0	STAFFBIC, L.	M 4:00- 4:50p	SH 128		61	33	0	34	10	A and N	Bookstore		OPEN
134	34184	Dis	A4	0	STAFFBIC, L.	M 5:00- 5:50p	SH 128		61	11	0	16	10	A and N	Bookstore		OPEN
135																	
136	CompSci 151 DIGITAL LOG DESIGN (Prerequisites)	CompSci 151 DIGITAL LOG DESIGN (Prerequisites)	CompSci 151 DIGITAL LOG DESIGN (Prerequisites)	CompSci 151 DIGITAL LOG DESIGN (Prerequisites)	CompSci 151 DIGITAL LOG DESIGN (Prerequisites)	CompSci 151 DIGITAL LOG DESIGN (Prerequisites)	CompSci 151 DIGITAL LOG DESIGN (Prerequisites)	CompSci 151 DIGITAL LOG DESIGN (Prerequisites)	CompSci 151 DIGITAL LOG DESIGN (Prerequisites)	CompSci 151 DIGITAL LOG DESIGN (Prerequisites)	CompSci 151 DIGITAL LOG DESIGN (Prerequisites)	CompSci 151 DIGITAL LOG DESIGN (Prerequisites)	CompSci 151 DIGITAL LOG DESIGN (Prerequisites)	CompSci 151 DIGITAL LOG DESIGN (Prerequisites)	CompSci 151 DIGITAL LOG DESIGN (Prerequisites)	CompSci 151 DIGITAL LOG DESIGN (Prerequisites)	CompSci 151 DIGITAL LOG DESIGN (Prerequisites)
137	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
138	34200	Lec	A	4	IMANI, M.	TuTh 11:00-12:20p	DBH 1300	TBA	50	18	0	31	0	A	Bookstore		OPEN
139	34201	Dis	1	0	STAFFIMANI, M.	F 9:00- 9:50	DBH 1300		50	18	0	26	0	A	Bookstore		OPEN
140																	
141	CompSci 161 DES&ANALYS OF ALGOR (Prerequisites)	CompSci 161 DES&ANALYS OF ALGOR (Prerequisites)	CompSci 161 DES&ANALYS OF ALGOR (Prerequisites)	CompSci 161 DES&ANALYS OF ALGOR (Prerequisites)	CompSci 161 DES&ANALYS OF ALGOR (Prerequisites)	CompSci 161 DES&ANALYS OF ALGOR (Prerequisites)	CompSci 161 DES&ANALYS OF ALGOR (Prerequisites)	CompSci 161 DES&ANALYS OF ALGOR (Prerequisites)	CompSci 161 DES&ANALYS OF ALGOR (Prerequisites)	CompSci 161 DES&ANALYS OF ALGOR (Prerequisites)	CompSci 161 DES&ANALYS OF ALGOR (Prerequisites)	CompSci 161 DES&ANALYS OF ALGOR (Prerequisites)	CompSci 161 DES&ANALYS OF ALGOR (Prerequisites)	CompSci 161 DES&ANALYS OF ALGOR (Prerequisites)	CompSci 161 DES&ANALYS OF ALGOR (Prerequisites)	CompSci 161 DES&ANALYS OF ALGOR (Prerequisites)	CompSci 161 DES&ANALYS OF ALGOR (Prerequisites)
142	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
143	34220	Lec	A	4	DILLENCOURT, M.	MWF 9:00- 9:50	PCB 1100	TBA	246	87	0	109	0	A	Bookstore		OPEN
144	34221	Dis	A1	0	STAFFDILLENCOURT, M.	TuTh 6:00- 6:50p	TBA		82	31	0	32	0	A	Bookstore		OPEN
145	34222	Dis	A2	0	STAFFDILLENCOURT, M.	TuTh 7:00- 7:50p	TBA		82	34	0	34	0	A	Bookstore		OPEN
146	34223	Dis	A3	0	STAFFDILLENCOURT, M.	TuTh 8:00- 8:50p	TBA		82	22	0	22	0	A	Bookstore		OPEN
147	34230	Lec	B	4	MIHAIL, M.	TuTh 3:30- 4:50p	PSLH 100	TBA	250	169	0	190	0	A	Bookstore		OPEN
148	34231	Dis	B1	0	STAFFMIHAIL, M.	MW 5:00- 5:50p	DBH 1600		84	84	0	86	0	A	Bookstore		Waitl
149	34232	Dis	B2	0	STAFFMIHAIL, M.	MW 7:00- 7:50p	ICS 174		83	72	0	73	0	A	Bookstore		OPEN
150	34233	Dis	B3	0	STAFFMIHAIL, M.	MW 8:00- 8:50p	ICS 174		83	13	0	13	0	A	Bookstore		OPEN
151																	
152	CompSci 163 GRAPH ALGORITHMS (Prerequisites)	CompSci 163 GRAPH ALGORITHMS (Prerequisites)	CompSci 163 GRAPH ALGORITHMS (Prerequisites)	CompSci 163 GRAPH ALGORITHMS (Prerequisites)	CompSci 163 GRAPH ALGORITHMS (Prerequisites)	CompSci 163 GRAPH ALGORITHMS (Prerequisites)	CompSci 163 GRAPH ALGORITHMS (Prerequisites)	CompSci 163 GRAPH ALGORITHMS (Prerequisites)	CompSci 163 GRAPH ALGORITHMS (Prerequisites)	CompSci 163 GRAPH ALGORITHMS (Prerequisites)	CompSci 163 GRAPH ALGORITHMS (Prerequisites)	CompSci 163 GRAPH ALGORITHMS (Prerequisites)	CompSci 163 GRAPH ALGORITHMS (Prerequisites)	CompSci 163 GRAPH ALGORITHMS (Prerequisites)	CompSci 163 GRAPH ALGORITHMS (Prerequisites)	CompSci 163 GRAPH ALGORITHMS (Prerequisites)	CompSci 163 GRAPH ALGORITHMS (Prerequisites)
153	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
154	34240	Lec	A	4	EPPSTEIN, D.	MWF 11:00-11:50	ELH 100	TBA	240	181	0	212	0	A	Bookstore		OPEN
155																	
156	CompSci 166 QUANTUM COMP & INFO (Prerequisites)	CompSci 166 QUANTUM COMP & INFO (Prerequisites)	CompSci 166 QUANTUM COMP & INFO (Prerequisites)	CompSci 166 QUANTUM COMP & INFO (Prerequisites)	CompSci 166 QUANTUM COMP & INFO (Prerequisites)	CompSci 166 QUANTUM COMP & INFO (Prerequisites)	CompSci 166 QUANTUM COMP & INFO (Prerequisites)	CompSci 166 QUANTUM COMP & INFO (Prerequisites)	CompSci 166 QUANTUM COMP & INFO (Prerequisites)	CompSci 166 QUANTUM COMP & INFO (Prerequisites)	CompSci 166 QUANTUM COMP & INFO (Prerequisites)	CompSci 166 QUANTUM COMP & INFO (Prerequisites)	CompSci 166 QUANTUM COMP & INFO (Prerequisites)	CompSci 166 QUANTUM COMP & INFO (Prerequisites)	CompSci 166 QUANTUM COMP & INFO (Prerequisites)	CompSci 166 QUANTUM COMP & INFO (Prerequisites)	CompSci 166 QUANTUM COMP & INFO (Prerequisites)
157	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
158	34260	Lec	A	4	IRANI, S.	MWF 2:00- 2:50p	DBH 1600	TBA	100	98	0	119	0	A	Bookstore		OPEN
159	34261	Dis	1	0	STAFFIRANI, S.	Th 4:00- 4:50p	TBA		50	50	1	52	0	A	Bookstore		Waitl
160	34262	Dis	2	0	STAFFIRANI, S.	Th 7:00- 7:50p	TBA		50	48	0	54	0	A	Bookstore		OPEN
161																	
162	CompSci 169 INTRO OPTIMIZATION (Prerequisites)	CompSci 169 INTRO OPTIMIZATION (Prerequisites)	CompSci 169 INTRO OPTIMIZATION (Prerequisites)	CompSci 169 INTRO OPTIMIZATION (Prerequisites)	CompSci 169 INTRO OPTIMIZATION (Prerequisites)	CompSci 169 INTRO OPTIMIZATION (Prerequisites)	CompSci 169 INTRO OPTIMIZATION (Prerequisites)	CompSci 169 INTRO OPTIMIZATION (Prerequisites)	CompSci 169 INTRO OPTIMIZATION (Prerequisites)	CompSci 169 INTRO OPTIMIZATION (Prerequisites)	CompSci 169 INTRO OPTIMIZATION (Prerequisites)	CompSci 169 INTRO OPTIMIZATION (Prerequisites)	CompSci 169 INTRO OPTIMIZATION (Prerequisites)	CompSci 169 INTRO OPTIMIZATION (Prerequisites)	CompSci 169 INTRO OPTIMIZATION (Prerequisites)	CompSci 169 INTRO OPTIMIZATION (Prerequisites)	CompSci 169 INTRO OPTIMIZATION (Prerequisites)
163	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
164	34280	Lec	A	4	MJOLSNESS, E.	MW 3:30- 4:50p	ICS 174	TBA	75	57	0	78	0	A	Bookstore		OPEN
165																	
166	CompSci 171 INTRO ARTIFCL INTEL (Prerequisites)	CompSci 171 INTRO ARTIFCL INTEL (Prerequisites)	CompSci 171 INTRO ARTIFCL INTEL (Prerequisites)	CompSci 171 INTRO ARTIFCL INTEL (Prerequisites)	CompSci 171 INTRO ARTIFCL INTEL (Prerequisites)	CompSci 171 INTRO ARTIFCL INTEL (Prerequisites)	CompSci 171 INTRO ARTIFCL INTEL (Prerequisites)	CompSci 171 INTRO ARTIFCL INTEL (Prerequisites)	CompSci 171 INTRO ARTIFCL INTEL (Prerequisites)	CompSci 171 INTRO ARTIFCL INTEL (Prerequisites)	CompSci 171 INTRO ARTIFCL INTEL (Prerequisites)	CompSci 171 INTRO ARTIFCL INTEL (Prerequisites)	CompSci 171 INTRO ARTIFCL INTEL (Prerequisites)	CompSci 171 INTRO ARTIFCL INTEL (Prerequisites)	CompSci 171 INTRO ARTIFCL INTEL (Prerequisites)	CompSci 171 INTRO ARTIFCL INTEL (Prerequisites)	CompSci 171 INTRO ARTIFCL INTEL (Prerequisites)
167	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
168	34290	Lec	A	4	KASK, K.	MWF 3:00- 3:50p	EH 1200	TBA	272	202	0	252	0	A	Bookstore		OPEN
169	34291	Dis	A1	0	STAFFKASK, K.	F 8:00- 8:50	MSTB 118		68	20	0	23	0	A	Bookstore		OPEN
170	34292	Dis	A2	0	STAFFKASK, K.	F 9:00- 9:50	MSTB 118		68	46	0	44	0	A	Bookstore		OPEN
171	34293	Dis	A3	0	STAFFKASK, K.	F 10:00-10:50	MSTB 118		68	68	0	75	0	A	Bookstore		Waitl
172	34294	Dis	A4	0	STAFFKASK, K.	F 11:00-11:50	MSTB 118		68	68	0	74	0	A	Bookstore		Waitl
173																	
174	CompSci 175 PROJECT IN AI (Prerequisites)	CompSci 175 PROJECT IN AI (Prerequisites)	CompSci 175 PROJECT IN AI (Prerequisites)	CompSci 175 PROJECT IN AI (Prerequisites)	CompSci 175 PROJECT IN AI (Prerequisites)	CompSci 175 PROJECT IN AI (Prerequisites)	CompSci 175 PROJECT IN AI (Prerequisites)	CompSci 175 PROJECT IN AI (Prerequisites)	CompSci 175 PROJECT IN AI (Prerequisites)	CompSci 175 PROJECT IN AI (Prerequisites)	CompSci 175 PROJECT IN AI (Prerequisites)	CompSci 175 PROJECT IN AI (Prerequisites)	CompSci 175 PROJECT IN AI (Prerequisites)	CompSci 175 PROJECT IN AI (Prerequisites)	CompSci 175 PROJECT IN AI (Prerequisites)	CompSci 175 PROJECT IN AI (Prerequisites)	CompSci 175 PROJECT IN AI (Prerequisites)
175	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
176	34310	Lec	A	4	SMYTH, P.	TuTh 2:00- 3:20p	SH 174	TBA	75	75	5	97	0	A	Bookstore		Waitl
177	34311	Dis	1	0	STAFFFOX, R.	F 2:00- 2:50p	TBA		38	38	2	41	0	A	Bookstore		Waitl
178	34312	Dis	2	0	STAFFFOX, R.	F 3:00- 3:50p	TBA		37	37	3	41	0	A	Bookstore		Waitl
179																	
180	CompSci 178 MACHINE/DATA MINING (Prerequisites)	CompSci 178 MACHINE/DATA MINING (Prerequisites)	CompSci 178 MACHINE/DATA MINING (Prerequisites)	CompSci 178 MACHINE/DATA MINING (Prerequisites)	CompSci 178 MACHINE/DATA MINING (Prerequisites)	CompSci 178 MACHINE/DATA MINING (Prerequisites)	CompSci 178 MACHINE/DATA MINING (Prerequisites)	CompSci 178 MACHINE/DATA MINING (Prerequisites)	CompSci 178 MACHINE/DATA MINING (Prerequisites)	CompSci 178 MACHINE/DATA MINING (Prerequisites)	CompSci 178 MACHINE/DATA MINING (Prerequisites)	CompSci 178 MACHINE/DATA MINING (Prerequisites)	CompSci 178 MACHINE/DATA MINING (Prerequisites)	CompSci 178 MACHINE/DATA MINING (Prerequisites)	CompSci 178 MACHINE/DATA MINING (Prerequisites)	CompSci 178 MACHINE/DATA MINING (Prerequisites)	CompSci 178 MACHINE/DATA MINING (Prerequisites)
181	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
182	34340	Lec	A	4	SMYTH, P.	TuTh 5:00- 6:20p	PSLH 100	TBA	300	255	0	296	0	A	Bookstore		OPEN
183	34341	Dis	1	0	STAFFSMYTH, P.	F 11:00-11:50	ICS 174		75	75	0	77	0	A	Bookstore		Waitl
184	34342	Dis	2	0	STAFFSMYTH, P.	F 12:00-12:50p	ICS 174		75	75	0	75	0	A	Bookstore		Waitl
185	34343	Dis	3	0	STAFFSMYTH, P.	F 1:00- 1:50p	ICS 174		75	63	0	61	0	A	Bookstore		OPEN
186	34344	Dis	4	0	STAFFSMYTH, P.	F 2:00- 2:50p	ICS 174		75	42	0	41	0	A	Bookstore		OPEN
187																	
188	CompSci 183 INTRO COMP BIOLOGY (Prerequisites)	CompSci 183 INTRO COMP BIOLOGY (Prerequisites)	CompSci 183 INTRO COMP BIOLOGY (Prerequisites)	CompSci 183 INTRO COMP BIOLOGY (Prerequisites)	CompSci 183 INTRO COMP BIOLOGY (Prerequisites)	CompSci 183 INTRO COMP BIOLOGY (Prerequisites)	CompSci 183 INTRO COMP BIOLOGY (Prerequisites)	CompSci 183 INTRO COMP BIOLOGY (Prerequisites)	CompSci 183 INTRO COMP BIOLOGY (Prerequisites)	CompSci 183 INTRO COMP BIOLOGY (Prerequisites)	CompSci 183 INTRO COMP BIOLOGY (Prerequisites)	CompSci 183 INTRO COMP BIOLOGY (Prerequisites)	CompSci 183 INTRO COMP BIOLOGY (Prerequisites)	CompSci 183 INTRO COMP BIOLOGY (Prerequisites)	CompSci 183 INTRO COMP BIOLOGY (Prerequisites)	CompSci 183 INTRO COMP BIOLOGY (Prerequisites)	CompSci 183 INTRO COMP BIOLOGY (Prerequisites)
189	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
190	34360	Lec	A	4	LUO, R.	TuTh 11:00-12:20p	HICF 100N	TBA	45	15 / 45		45	0	J and N	Bookstore		FULL
191			(same as 06055 Bio Sci M123, Lec A; and 13565 BmE 132, Lec A)	(same as 06055 Bio Sci M123, Lec A; and 13565 BmE 132, Lec A)	(same as 06055 Bio Sci M123, Lec A; and 13565 BmE 132, Lec A)	(same as 06055 Bio Sci M123, Lec A; and 13565 BmE 132, Lec A)	(same as 06055 Bio Sci M123, Lec A; and 13565 BmE 132, Lec A)	(same as 06055 Bio Sci M123, Lec A; and 13565 BmE 132, Lec A)	(same as 06055 Bio Sci M123, Lec A; and 13565 BmE 132, Lec A)	(same as 06055 Bio Sci M123, Lec A; and 13565 BmE 132, Lec A)	(same as 06055 Bio Sci M123, Lec A; and 13565 BmE 132, Lec A)	(same as 06055 Bio Sci M123, Lec A; and 13565 BmE 132, Lec A)	(same as 06055 Bio Sci M123, Lec A; and 13565 BmE 132, Lec A)	(same as 06055 Bio Sci M123, Lec A; and 13565 BmE 132, Lec A)	(same as 06055 Bio Sci M123, Lec A; and 13565 BmE 132, Lec A)		
192	(same as 06055 Bio Sci M123, Lec A; and 13565 BmE 132, Lec A)																
193																	
194	CompSci 184A AI IN BIO AND MED (Prerequisites)	CompSci 184A AI IN BIO AND MED (Prerequisites)	CompSci 184A AI IN BIO AND MED (Prerequisites)	CompSci 184A AI IN BIO AND MED (Prerequisites)	CompSci 184A AI IN BIO AND MED (Prerequisites)	CompSci 184A AI IN BIO AND MED (Prerequisites)	CompSci 184A AI IN BIO AND MED (Prerequisites)	CompSci 184A AI IN BIO AND MED (Prerequisites)	CompSci 184A AI IN BIO AND MED (Prerequisites)	CompSci 184A AI IN BIO AND MED (Prerequisites)	CompSci 184A AI IN BIO AND MED (Prerequisites)	CompSci 184A AI IN BIO AND MED (Prerequisites)	CompSci 184A AI IN BIO AND MED (Prerequisites)	CompSci 184A AI IN BIO AND MED (Prerequisites)	CompSci 184A AI IN BIO AND MED (Prerequisites)	CompSci 184A AI IN BIO AND MED (Prerequisites)	CompSci 184A AI IN BIO AND MED (Prerequisites)
195		"Formerly titled ""ALGRTHMS FOR MOLBIO"". Students with prior credit for CompSci 184, ""ALGRTHMS FOR MOLBIO"" may not take CompSci 184A, ""AI IN BIO AND MED""."	"Formerly titled ""ALGRTHMS FOR MOLBIO"". Students with prior credit for CompSci 184, ""ALGRTHMS FOR MOLBIO"" may not take CompSci 184A, ""AI IN BIO AND MED""."	"Formerly titled ""ALGRTHMS FOR MOLBIO"". Students with prior credit for CompSci 184, ""ALGRTHMS FOR MOLBIO"" may not take CompSci 184A, ""AI IN BIO AND MED""."	"Formerly titled ""ALGRTHMS FOR MOLBIO"". Students with prior credit for CompSci 184, ""ALGRTHMS FOR MOLBIO"" may not take CompSci 184A, ""AI IN BIO AND MED""."	"Formerly titled ""ALGRTHMS FOR MOLBIO"". Students with prior credit for CompSci 184, ""ALGRTHMS FOR MOLBIO"" may not take CompSci 184A, ""AI IN BIO AND MED""."	"Formerly titled ""ALGRTHMS FOR MOLBIO"". Students with prior credit for CompSci 184, ""ALGRTHMS FOR MOLBIO"" may not take CompSci 184A, ""AI IN BIO AND MED""."	"Formerly titled ""ALGRTHMS FOR MOLBIO"". Students with prior credit for CompSci 184, ""ALGRTHMS FOR MOLBIO"" may not take CompSci 184A, ""AI IN BIO AND MED""."	"Formerly titled ""ALGRTHMS FOR MOLBIO"". Students with prior credit for CompSci 184, ""ALGRTHMS FOR MOLBIO"" may not take CompSci 184A, ""AI IN BIO AND MED""."	"Formerly titled ""ALGRTHMS FOR MOLBIO"". Students with prior credit for CompSci 184, ""ALGRTHMS FOR MOLBIO"" may not take CompSci 184A, ""AI IN BIO AND MED""."	"Formerly titled ""ALGRTHMS FOR MOLBIO"". Students with prior credit for CompSci 184, ""ALGRTHMS FOR MOLBIO"" may not take CompSci 184A, ""AI IN BIO AND MED""."	"Formerly titled ""ALGRTHMS FOR MOLBIO"". Students with prior credit for CompSci 184, ""ALGRTHMS FOR MOLBIO"" may not take CompSci 184A, ""AI IN BIO AND MED""."	"Formerly titled ""ALGRTHMS FOR MOLBIO"". Students with prior credit for CompSci 184, ""ALGRTHMS FOR MOLBIO"" may not take CompSci 184A, ""AI IN BIO AND MED""."	"Formerly titled ""ALGRTHMS FOR MOLBIO"". Students with prior credit for CompSci 184, ""ALGRTHMS FOR MOLBIO"" may not take CompSci 184A, ""AI IN BIO AND MED""."	"Formerly titled ""ALGRTHMS FOR MOLBIO"". Students with prior credit for CompSci 184, ""ALGRTHMS FOR MOLBIO"" may not take CompSci 184A, ""AI IN BIO AND MED""."	"Formerly titled ""ALGRTHMS FOR MOLBIO"". Students with prior credit for CompSci 184, ""ALGRTHMS FOR MOLBIO"" may not take CompSci 184A, ""AI IN BIO AND MED""."	
196	"Formerly titled ""ALGRTHMS FOR MOLBIO"". Students with prior credit for CompSci 184, ""ALGRTHMS FOR MOLBIO"" may not take CompSci 184A, ""AI IN BIO AND MED""."																
197	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
198	34370	Lec	A	4	XIE, X.STAFF	MW 8:00- 9:20	SSL 140	TBA	45	20	0	51	0	A	Bookstore		OPEN
199																	
200	CompSci H198 HONORS RESEARCH	CompSci H198 HONORS RESEARCH	CompSci H198 HONORS RESEARCH	CompSci H198 HONORS RESEARCH	CompSci H198 HONORS RESEARCH	CompSci H198 HONORS RESEARCH	CompSci H198 HONORS RESEARCH	CompSci H198 HONORS RESEARCH	CompSci H198 HONORS RESEARCH	CompSci H198 HONORS RESEARCH	CompSci H198 HONORS RESEARCH	CompSci H198 HONORS RESEARCH	CompSci H198 HONORS RESEARCH	CompSci H198 HONORS RESEARCH	CompSci H198 HONORS RESEARCH	CompSci H198 HONORS RESEARCH	CompSci H198 HONORS RESEARCH
